family,pair,src,donor,layer,acc_src,acc_donor,other
nonce,prepend_first->repetition,prepend_first,repetition,11,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,12,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,13,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,14,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,15,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,16,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,17,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,18,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,19,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,20,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,21,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,22,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,23,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,24,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,25,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,26,0.0,0.0,1.0
nonce,prepend_first->repetition,prepend_first,repetition,27,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,0,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,1,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,2,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,3,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,4,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,5,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,6,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,7,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,8,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,9,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,10,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,11,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,12,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,13,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,14,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,15,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,16,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,17,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,18,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,19,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,20,0.0,0.0,1.0
